id|upgrade_scope|comparison|cases
F01.DECODER|Apply content-addressed projection/chunking to each exact schema decoder while preserving the literal independent reader and complete correction fields.|Compare identical decoded records and downstream summaries under cold/warm cache, narrow projection and interrupted materialization; measure bytes, RAM and restart work.|Schema enum changes; shared bytes at two paths; omitted field needed for correction.
F02.PAYOFF|Compile each supported payoff/style/unit definition into reusable conversion kernels with explicit domain and unsupported cases.|Compare hand-calculated payoff/expiry cases, independent kernels and valid round trips; measure definition-change impact.|Adjusted deliverable; option underlier future differs from root; calendar versus remaining-time derivative.
F03.SESSION_CASES|Use a shared interval/event graph for every registered source clock, overlap and mandatory cutoff.|Compare original calendar rules with compiled intervals and timers across all named sessions, retaining unresolved source alternatives.|DST fold; cross-midnight window; no tick at reset; weekly range with half-day.
F04.SCHEDULER|Add dirty-port propagation, request coalescing and deadline-based optional computation without changing admitted information or mandatory risk lanes.|Compare full recomputation and incremental schedules on identical decision clocks, complete emitted versions and measured action delay.|Superseded slow forecast; late result; unchanged upstream value with new lineage; timer/order race.
F05.CROSS_VENDOR|Compile source-specific event/flag semantics into canonical events and retain evidence-specific discrepancy categories.|Compare literal native decoding with canonical/reference projections on exact comparable observations; no vendor superiority inferred from unequal cohorts.|Trade summary differs across feeds; BBO snapshot repeats; multi-record event; unknown side distinct from missing print.
F06.GAP_RECOVERY|Use dependency-local invalidation and correction-aware checkpoint repair by gap type rather than rebuilding unaffected state.|Compare full reference replay with repair strategies and bounded unavailable windows; measure recovery cost and validity restoration.|Gap inside unfinished bar; lost session open; late correction before checkpoint; source resumes at new price.
F07.AGE_SUPPORT|Compile operation-specific support/age/liveness policies and propagate only affected capability masks.|Compare broad feed-level veto with field/cohort policies under the same causal validity rules; measure retained usable outputs and fault localization.|Healthy unchanged quote; missing wing only; repeated stale copy; expected slow publication.
F08.ROLL_PARITY|Use explicit raw/continuous coordinate bridges and reusable transformation metadata for each roll/adjustment view.|Compare economic/label invariance where mathematically valid and explicit differences where adjustments change level semantics.|Raw roll gap; backward adjustment changes old chart level; transformed tick units; mixed-contract profile.
F09.ACTIVITY_BARS|Maintain shared whole-event prefix summaries for clock, trade-count, volume and volatility/activity bars.|Compare independent builders with one-pass multi-bar materialization, true cumulative OHLC and boundary overshoot accounting.|One large print exceeds threshold; identical close different intrabar extrema; no events; reset inside formation.
F10.LINEAGE|Use typed object/revision/event relations and canonical identity independently from display grouping.|Compare registry/reference identity under split/merge/reanchor and exact action deduplication; measure false new-object counts.|New ID reuses same evidence; same price different parent; moving provisional object; correction invalidation.
F11.INPUT_AUDIT|Generate compact input dependency manifests and first-change impact maps from actual feature reads.|Compare declared versus instrumented lineage and content hashes, including fitted transforms and apparently unused data paths.|Feature reads future-adjusted value; stale cache; calibration dependency omitted; identical numeric value new version.
F12.PARITY|Share semantic kernels across historical/captured-live paths and compare versioned traces, including receipt uncertainty.|Compare value, state, timing and action parity; report legitimate transport/numeric differences separately from semantic mismatches.|Restart mid-event; sequence tie; actual finish already includes latency; missing historical receipt.
M01.SIGN_RESET|Keep every sign/reset series exact, then add exposure-normalized innovations and multiple decay clocks with the same underlying print ledger.|Compare raw/sign-proxy/reset variants and residual interpretations at common cuts with unknown-side bounds.|Reset creates slope jump; unknown signs concentrated in one interval; opposite paths same close.
