family	id	audit	fixture	leakage	spike_flag	notes
env	env.ev.gk20	unbuilt	none	0	n/a	SPEC upgrade; no report; GK band not in family_env.py
env	env.ev.har	unbuilt	none	0	n/a	SPEC upgrade; no report; HAR band not in family_env.py
env	env.ev.iv	unbuilt	none	0	n/a	SPEC upgrade; no report; ATM-IV AM band not in family_env.py
env	env.ev.mean60	pass	pass	0	n/a	family_env.py:42-63 ref.0930open ± prior-60 AM 09:30-12:00 one-sided means; ev_mid is open not EQ (2 coincidental equals); leakage 0; other refs 0900open/eq69/0900close/tdo unbuilt
env	env.ev.mean60.ref.0900close	unbuilt	none	0	n/a	SPEC ref.0900close; no report; family_env.py only ref.0930open
env	env.ev.mean60.ref.0900open	unbuilt	none	0	n/a	SPEC ref.0900open; no report; family_env.py only ref.0930open
env	env.ev.mean60.ref.eq69	unbuilt	none	0	n/a	SPEC ref.eq69; no report; family_env.py:53 ev_mid is 0930 open not EQ
env	env.ev.mean60.ref.tdo	unbuilt	none	0	n/a	SPEC ref.tdo; no report; family_env.py only ref.0930open
env	env.ev.median60	pass	pass	0	n/a	family_env.py:51-66 median of same AM one-sided excursions; ref.0930open; faithful_of env.ev.mean60 disagreements 82; other refs unbuilt
env	env.ev.p75	unbuilt	none	0	n/a	SPEC upgrade; no report; p75 AM excursion band not in family_env.py
env	env.ev.p90	unbuilt	none	0	n/a	SPEC upgrade; no report; p90 AM excursion band not in family_env.py
env	env.ev.rv20	unbuilt	none	0	n/a	SPEC upgrade; no report; scaled RV band not in family_env.py (vol.rv20 is a feature only)
env	env.ev.vix16	unbuilt	none	0	n/a	SPEC upgrade; no report; VIX/16 band not in family_env.py; VIX parquet exists free-sources
env	env.ev.yz20	unbuilt	none	0	n/a	SPEC upgrade; no report; YZ band not in family_env.py
env	env.ext.050	unbuilt	none	0	n/a	SPEC upgrade −0.5 projection; no env report; sessions.py:52-53 has m05 geometry unused here
env	env.ext.100	unbuilt	none	0	n/a	SPEC upgrade measured move; no report; family_env.py only k=1.33/1.66
env	env.ext.133.from-edge	pass	pass	0	n/a	family_env.py:79-85 H+1.33*W69 / L-1.33*W69; env_F 667/667 match sessions 1s H/L; fixture 110+1.33*20=136.6 family_env.py:186
env	env.ext.133.from-edge.london	unbuilt	none	0	n/a	SPEC London box source; no report; family_env.py:79-86 uses W69 only
env	env.ext.133.from-eq	unbuilt	none	0	n/a	SPEC upgrade; no report; not in family_env.py
env	env.ext.133.from-origin	unbuilt	none	0	n/a	SPEC upgrade L+kW / H−kW; no report; not in family_env.py
env	env.ext.166.from-edge	pass	pass	0	n/a	family_env.py:83-86 H+1.66*W69 / L-1.66*W69; AM 09:30-12:00 reach; faithful_of env.ext.133.from-edge
env	env.ss.avgHL60	fail	pass	0	n/a	_tables/env_F.parquet 657/657 ss_hi/ss_lo = ss_mid ± half 09:00-12:00 H-L; family_env.py:27-29 cache skips one-sided :71-77; wiki wants open+mean(H-open) / open-mean(open-L)
env	env.ss.medHL60	unbuilt	none	0	n/a	SPEC/wiki upgrade; no report; family_env.py has no median 09:00-12:00 sides
env	env.ss.minavg60	unbuilt	none	0	n/a	SPEC/wiki named min-average approx; no report; not in family_env.py
