id|name|definition|target|comparisons|fixtures|metric|ablations|decision_use
F01.DECODER|Independent decoding reference|Retain raw bytes and schema/version alongside canonical fields; compare independent reference decoding on selected event bundles. Preserve every supplied MBP-1 field; BBO and trades are derived views with field/source lineage.|Exact instrument/time/side/size/action fidelity on supported records.|Literal reference decoder; optimized streaming implementation; no learned replacement for semantics.|Schema changes mid-file, truncated record, unknown enum, timestamp scale and duplicate input.; native action/side enum versus character, projected NQ/ES schema versus native DBN fields.|Exact field/count/hash reconciliation; throughput and quarantined coverage.|Remove an optional normalization; compare vendor-native and canonical views without changing raw provenance.|Prevents every downstream expert from learning a decoder artifact.
F02.PAYOFF|Contract-style payoff and calendar cases|Exercise, settlement, underlying future, multiplier, adjustment and exact expiry must select the appropriate payoff/valuation adapter.|Correct contract valuation domain and executable dollar units.|Literal payoff/pricing fixtures; versioned registry adapter; alternate valuation models only for supported styles.|Same-date AM/PM, VIX versus UX, adjusted option multiplier, wrong underlying future and expired contract.|Zero unexplained payoff/unit/identity failures; quantified valuation-model error.|Registry fields removed one at a time; reject unsupported valuation instead of defaulting contract style.|Controls O02/O05 exposure and P02/P08 dollar risk.
F03.SESSION_CASES|Session and boundary completeness|Enumerate exchange, business-day and source-window clocks with effective dates and holiday exceptions.|Exact session/range/forced-flat timestamps.|Versioned calendar engine; transparent reference calendar; no learned session truth.|DST spring/fall, overnight trading-date change, half-day, prior-RTH versus 06–09 and no opening print.|Exact timestamp parity and boundary coverage.|Use source-faithful versus alternative windows as separate experiments, never accidental timezone shifts.|Keeps range geometry, option expiry and account days aligned.
F04.SCHEDULER|Multiple update clocks and atomic publication|Use independent risk/order lane, event measurements, minute board/Context lanes, immutable completed versions and explicit age/deadline contracts.|Causal decisions at measured computation/dispatch times.|Minute baseline; bounded event triggers; shared-cache implementation; compare actual latency and lost opportunity.|Slow IV fit at contact, optional source stall, horizon partly elapsed, restart and duplicate dispatch workers.|Prefix equality, no duplicate intent, backlog/stale counts and policy value after compute delay.|Cadence, TTL, coalescing and compute budget separately; retain identical critical risk lane.|Makes granular specialists practical without blocking healthy execution or using incomplete forecasts.
F05.CROSS_VENDOR|Vendor trade/quote semantic reconciliation|Compare common-contract overlapping vendor observations with correction, condition and side provenance; disagreement stays labeled. Decode raw flags bitwise with provider/schema/version provenance; never require F_LAST for trade inclusion.|Matched record identity and side/size uncertainty at actual supported timing.|Raw provider semantics; deterministic reconciliation; probabilistic side hypotheses only when separately evaluated.|Trade embedded in quote feed plus explicit trade file, cancel/correct, inside spread and same-time bundle.; T without F_LAST, combined 132/168, snapshot versus fresh activity, unresolved publisher-specific bit.|Matched counts/volume and disagreement by condition; sign-scenario sensitivity.|Each vendor, receipt-lag scenario and signing convention on common coverage.|Prevents duplicate CVD and false options flow or refill evidence.
F06.GAP_RECOVERY|Gap-specific state recovery|Differentiate no events, missing packets, halted market, stale snapshots and model timeout; explicitly invalidate dependent state. A documented book recovery does not restore missing traded-volume history; propagate distinct book and flow-completeness masks.|Known quality state and causal recovery/abstention behavior.|Deterministic gap rules; seasonal anomaly monitor as a challenger.|Quiet valid market versus outage, missing profile segment, partial surface update and reconnect suffix replay.; observed NQ bit-4 gap segment and snapshot flag 168.|Detection delay, false quarantine, recovery completeness and downstream lost coverage.|Quality features and thresholds under simulated outages; no imputation of BBO/position.|Preserves useful supported experts while containing corrupt state.
F07.AGE_SUPPORT|Coverage and age propagation|Attach source-specific masks, clock uncertainty and age to every join and forecast; compile allowed missingness patterns.|Correct availability and support of each consuming horizon.|Backward join and explicit masks; missingness-aware statistical model downstream.|Future-nearest match, stale daily source, missing entire chain and quote with fresh snapshot but old content.|Zero future joins; calibration/value by age and missing-source pattern.|Common-coverage intersection, full supported cohort, extra lag and source dropout.|Separates a valid no-node observation from a missing options feed.
F08.ROLL_PARITY|Roll and adjustment invariance|Maintain signal-return continuity separately from raw outright trade/strike coordinates and point-in-time equity adjustments.|No artificial range/flow/option-node jump from a roll or split.|Raw contract reference; documented return splice; causal translation challenger.|Roll inside active profile, split/dividend, negative commodity price and stale contract selection.|Exact raw-price P&L; object lineage and mapped error across transitions.|Reset versus translated object policies, chosen in development.|Avoids spurious Context states and impossible mapped stops.
F09.ACTIVITY_BARS|Event and activity bars|Compare completed time, volume, trade-count and range bars with explicit birth/close and overshoot rules.|Same-clock future path information after each bar becomes known.|One-minute bars; fixed-volume/count bars; training-selected causal activity thresholds.|A large print crosses multiple thresholds, zero-volume minute, unfinished bar and equal-value consecutive HTF bars.|Volume conservation, completion timing, predictive gain at matched information and latency.|Bar construction versus model class; test background clock sampling and selection prevalence.|Tests whether useful flow structure is obscured by fixed time aggregation.
F10.LINEAGE|Object and event identity integrity|Use stable birth/parent/visit IDs and immutable geometry versions across updates, merges, failures and restarts.|Complete candidate and outcome denominator.|Append-only reference registry; indexed/streaming registry.|Node split/merge, failed level later deleted, same price with different anchor and restored checkpoint.|Exact candidate/revision/visit reconciliation and no retroactive hits.|Merge/group policy varied downstream while original identities stay fixed.|Allows honest level selection, retest risk and per-source diagnosis.
F11.INPUT_AUDIT|Actual model-input lineage|Record which eligible feature columns reached each fitted and served model, with transformation and missingness lineage.|Feature availability and actual use by the registered experiment.|Explicit feature manifest and fold hashes; optimized cache validated against reference.|Registered feature omitted from matrix, later census joined backward, in-sample upstream substituted and stale model cache.|Exact column/version/cut/fold reconciliation; intervention sensitivity where a model uses a field.|Train and replay with input family removed; compare declared and actual design matrices.|Tests whether an apparent failed idea was ever faithfully supplied to the learner.
F12.PARITY|Historical and captured-live equivalence|Capture raw receipts and reconstruct the same canonical prefixes, processing delays and artifact versions.|Reproducible output and timing assumptions when future capture is authorized.|Offline adapter; captured-stream replay; polling versus streaming on common cuts.|Clock jump, reconnect duplicate, delayed BBO, subscription denial and order ack after restart.|First divergence, receipt/completion quantiles, drops and decision agreement.|Arrival models, update cadence and feed subsets; fixed versus preregistered adaptive policy.|Determines whether historical short-horizon forecasts survive actual availability.
M01.SIGN_RESET|CVD sign and anchor decomposition|Keep buy, sell, unknown and net cumulative contracts with declared session/rolling/event resets.|Exact flow measurement; separate 1/5/15-minute path heads downstream.|Provider side; quote/tick signing scenarios; price-signed bar proxy as a distinct baseline.|Unknown side, correction, session reset during bar and identical total volume with opposite side allocation.|Conservation and reset parity; Brier/CRPS increment for downstream path.|Sign convention, unknown fraction, reset/anchor and proxy versus trade data.|Prevents a reset or side convention from becoming a false divergence signal.
M02.FIXED_COHORT|Source size cohorts|Retain the exact source fixed trade-size bins and all excluded/unknown volume as separate channels.|Cohort path/control information at 1/5/15/30 seconds and 1/5/15 minutes where supported.|All-size CVD; faithful fixed cohorts; regularized multi-cohort predictor.|30–60 filter misses larger trades, boundary-size print, many small versus one large print and late aggregate.|Mass conservation; paired proper-score/calibration gain and effective event counts.|Each cohort removed; same total volume/price matched controls.|Tests size-specific participation without claiming trader identity.
M02.ADAPT_COHORT|Adaptive size cohorts|Use past session/asset trade-size quantiles, continuous size marks and stable bucket versions.|Future path/control at identical horizons to fixed cohorts.|Fixed bins; causal quantile bins; continuous marked-flow model.|Threshold drift during session, extreme tail, sparse overnight cohort and new contract scale.|Incremental score/value at equal information; bucket stability and uncertainty.|Size magnitude versus rank; window length and retraining cadence.|Improves portability of cohort signals across years, assets and sessions.
M02.OHLC|True cohort CVD OHLC|Record open/high/low/close of each event-ordered cumulative cohort process, including within-bar excursions.|Future path beyond a common completed-bar or causal partial-bar cut.|Cohort close only; true OHLC; compact sequence model on same eligible events.|Equal final CVD with opposite intrabar paths, bar reset, delayed event and missing sign.|Exact synthetic extrema; OOF score and net increment over close-only.|O/H/L individually, event order and bar construction.|Tests the user's explicit within-bar cohort information hypothesis.
